KELOMPOK,KODEJUR,JURUSAN,PTN,KODEPTN,NILAIMIN,dummy
1,111011,PENDIDIKAN DOKTER HEWAN ,UNSYIAH,11,33.31,abcde
1,111025,TEKNIK SIPIL ,UNSYIAH,11,37.31,abcde
1,111033,TEKNIK MESIN ,UNSYIAH,11,36.65,abcde
1,111041,TEKNIK KIMIA ,UNSYIAH,11,38.7,abcde
1,111055,ARSITEKTUR ,UNSYIAH,11,33.51,abcde
1,111063,TEKNIK ELEKTRO ,UNSYIAH,11,39.03,abcde
1,111071,AGROTEKNOLOGI ,UNSYIAH,11,26.67,abcde
1,111085,AGRIBISNIS ,UNSYIAH,11,29.51,abcde
1,111093,PETERNAKAN ,UNSYIAH,11,25.56,abcde
1,111106,TEKNOLOGI HASIL PERTANIAN ,UNSYIAH,11,29.45,abcde
1,111114,TEKNIK PERTANIAN ,UNSYIAH,11,30.76,abcde
1,111122,PENDIDIKAN BIOLOGI ,UNSYIAH,11,30.65,abcde
1,111136,PENDIDIKAN MATEMATIKA ,UNSYIAH,11,29.56,abcde
1,111144,PENDIDIKAN FISIKA ,UNSYIAH,11,30.06,abcde
1,111152,PENDIDIKAN KIMIA ,UNSYIAH,11,26.4,abcde
1,111166,PENDIDIKAN DOKTER ,UNSYIAH,11,43.01,abcde
1,111174,ILMU KEPERAWATAN ,UNSYIAH,11,31.4,abcde
1,111182,PENDIDIKAN DOKTER GIGI ,UNSYIAH,11,39.65,abcde
1,111196,MATEMATIKA ,UNSYIAH,11,29.03,abcde
1,111203,FISIKA ,UNSYIAH,11,28.65,abcde
1,111211,KIMIA ,UNSYIAH,11,27.79,abcde
1,111225,BIOLOGI ,UNSYIAH,11,30.37,abcde
1,111233,ILMU KELAUTAN ,UNSYIAH,11,30.4,abcde
1,111241,BUDIDAYA PERAIRAN ,UNSYIAH,11,29.65,abcde
1,111255,TEKNIK INDUSTRI ,UNSYIAH,11,35.82,abcde
1,111263,INFORMATIKA ,UNSYIAH,11,36.27,abcde
1,111271,FARMASI ,UNSYIAH,11,36.04,abcde
1,111285,TEKNIK GEOFISIKA ,UNSYIAH,11,28.02,abcde
1,111293,TEKNIK PERTAMBANGAN ,UNSYIAH,11,36.15,abcde
1,111306,STATISTIKA ,UNSYIAH,11,29.25,abcde
1,111314,PEMANFAATAN SUMBERDAYA PERIKANAN ,UNSYIAH,11,26.45,abcde
1,111322,ILMU TANAH ,UNSYIAH,11,26.28,abcde
1,111336,TEKNIK GEOLOGI ,UNSYIAH,11,32.25,abcde
1,111344,AGROTEKNOLOGI (PDD GAYO LUES) ,UNSYIAH,11,30.65,abcde
1,111352,PENDIDIKAN BIOLOGI (PDD GAYO LUES) ,UNSYIAH,11,28.95,abcde
1,111366,KEHUTANAN (PDD GAYO LUES) ,UNSYIAH,11,31.15,abcde
1,111374,PROTEKSI TANAMAN ,UNSYIAH,11,,abcde
1,111382,PERENCANAAN WILAYAH DAN KOTA ,UNSYIAH,11,,abcde
1,111396,KEHUTANAN ,UNSYIAH,11,,abcde
1,111403,TEKNIK KOMPUTER ,UNSYIAH,11,,abcde
2,112013,EKONOMI PEMBANGUNAN ,UNSYIAH,11,36.4,abcde
2,112021,MANAJEMEN ,UNSYIAH,11,37.75,abcde
2,112035,AKUNTANSI ,UNSYIAH,11,40.45,abcde
2,112043,ILMU HUKUM ,UNSYIAH,11,37.75,abcde
2,112051,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN ,UNSYIAH,11,25.77,abcde
2,112065,PENDIDIKAN SEJARAH ,UNSYIAH,11,26.93,abcde
2,112073,PENDIDIKAN EKONOMI ,UNSYIAH,11,35.77,abcde
2,112081,PENDIDIKAN GEOGRAFI ,UNSYIAH,11,35.15,abcde
